Target	Default_BOW	Optimized_BOW	Default_SubLexicon	Optimized_SubLexicon	Default_ArgLexicon	Optimized_ArgLexicon	Default_Unigrams	Default_Uni-Bigrams	Default_Uni-Bi-Trigrams	Default_AllWords	Optimized_AllWords	Optimized_Unigrams	Optimized_Uni-Bigrams	Optimized_Unit-Bi-Trigrams
Hillary Clinton	0.6338983050847458	0.6406779661016949	0.6237288135593221	0.6576271186440678	0.6271186440677966	0.6610169491525424	0.5898305084745763	0.5830508474576271	0.5830508474576271	0.6237288135593221	0.6576271186440678	0.5864406779661017	0.6033898305084746	0.6
Climate Change is a Real Concern	0.7455621301775148	0.7573964497041421	0.727810650887574	0.727810650887574	0.7278106508875741	0.7396449704142012	0.6982248520710059	0.7337278106508875	0.7337278106508875	0.7278106508875741	0.7278106508875741	0.6863905325443787	0.5621301775147929	0.7100591715976331
Legalization of Abortion	0.6928571428571428	0.6928571428571428	0.6928571428571428	0.7	0.6928571428571428	0.6964285714285714	0.7035714285714286	0.675	0.675	0.6928571428571428	0.7	0.6464285714285715	0.6535714285714286	0.6678571428571428
Atheism	0.7318181818181818	0.7318181818181818	0.7318181818181818	0.7318181818181818	0.7318181818181818	0.7318181818181818	0.7272727272727273	0.7272727272727273	0.7272727272727273	0.7318181818181818	0.7318181818181818	0.740909090909091	0.7136363636363636	0.7227272727272728
Feminist Movement	0.6070175438596491	0.6421052631578947	0.6421052631578947	0.6421052631578947	0.6421052631578947	0.6421052631578947	0.6350877192982456	0.656140350877193	0.6456140350877193	0.6421052631578947	0.6421052631578947	0.5508771929824562	0.5859649122807018	0.6035087719298246
